response_id,order_id,customer_id,response_date,satisfaction_score,complaint_category,free_text_comment
CSAT-00029,ORD-01658,CUST-01027,2025-06-27,6,None,Customer service was unhelpful when I called about my order.
CSAT-00030,ORD-01415,CUST-01633,2025-05-07,6,Product Quality,
CSAT-00031,ORD-01850,CUST-01058,2025-06-22,6,Delivery Speed,
CSAT-00032,ORD-02770,CUST-01464,2025-05-02,6,None,Customer service was unhelpful when I called about my order.
CSAT-00033,ORD-00252,CUST-00841,2025-06-04,1,Delivery Speed,Delivery was 2 weeks late and the item was damaged.
CSAT-00034,ORD-00788,CUST-00392,2025-06-27,5,Delivery Speed,
CSAT-00035,ORD-02233,CUST-01004,2025-06-09,5,Delivery Speed,
CSAT-00036,ORD-01787,CUST-00361,2025-07-04,5,Customer Service,Wrong color sent. Had to return.
CSAT-00037,ORD-00178,CUST-00343,2025-05-16,5,None,Packaging was minimal — item rattled around in the box.
CSAT-00038,ORD-01672,CUST-01796,2025-06-28,5,Product Quality,Packaging was minimal — item rattled around in the box.
CSAT-00039,ORD-00578,CUST-00347,2025-04-24,2,Product Quality,Took a few extra days but the product is okay.
CSAT-00040,ORD-01628,CUST-00730,2025-05-13,6,Product Quality,Expected better quality for the price.
CSAT-00041,ORD-01797,CUST-00432,2025-06-13,9,None,
CSAT-00042,ORD-02772,CUST-00121,2025-05-17,1,Delivery Speed,Package arrived two weeks late with no explanation.
CSAT-00043,ORD-01149,CUST-00008,2025-04-29,8,Product Quality,"Great product, arrived on time!"
CSAT-00044,ORD-01399,CUST-01181,2025-06-09,8,None,Smooth ordering process and fast delivery.
CSAT-00045,ORD-00614,CUST-01161,2025-06-28,2,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00046,ORD-02907,CUST-01636,2025-07-08,6,None,Wrong color sent. Had to return.
CSAT-00047,ORD-00908,CUST-01339,2025-05-13,8,None,Excellent value for the money.
CSAT-00048,ORD-02729,CUST-00990,2025-04-30,10,None,
CSAT-00049,ORD-00833,CUST-00732,2025-06-06,7,None,Fast shipping and good quality.
CSAT-00050,ORD-01767,CUST-00956,2025-07-04,6,Delivery Speed,Not worth the price. Feels cheaply made.
CSAT-00051,ORD-01403,CUST-00191,2025-06-09,7,None,Excellent value for the money.
CSAT-00052,ORD-00631,CUST-00404,2025-05-21,7,None,Excellent value for the money.
CSAT-00053,ORD-00200,CUST-00416,2025-04-21,9,None,Good experience overall.
CSAT-00054,ORD-01444,CUST-00175,2025-05-28,8,None,Very happy with my purchase.
CSAT-00055,ORD-01199,CUST-00685,2025-05-03,7,None,Happy customer. Will order again.
CSAT-00056,ORD-02825,CUST-00364,2025-06-13,8,None,Good experience overall.
CSAT-00057,ORD-02039,CUST-01402,2025-04-16,6,None,Packaging was minimal — item rattled around in the box.
CSAT-00058,ORD-01662,CUST-00075,2025-05-27,6,None,
CSAT-00059,ORD-01341,CUST-01010,2025-07-01,3,Product Quality,Wrong color sent. Had to return.
CSAT-00060,ORD-00839,CUST-01037,2025-06-02,10,None,Very happy with my purchase.
CSAT-00061,ORD-02514,CUST-01757,2025-07-15,5,Packaging,Took a few extra days but the product is okay.
CSAT-00062,ORD-01071,CUST-01234,2025-05-21,5,None,
CSAT-00063,ORD-01534,CUST-01203,2025-06-23,5,None,Wrong color sent. Had to return.
CSAT-00064,ORD-02133,CUST-01246,2025-06-14,1,Delivery Speed,No tracking updates for over a week. Very frustrating.
CSAT-00065,ORD-02622,CUST-00992,2025-06-10,3,Delivery Speed,Delivery was so late I almost forgot I ordered it.
CSAT-00066,ORD-02281,CUST-01279,2025-06-16,7,None,Good experience overall.
CSAT-00067,ORD-01150,CUST-00455,2025-06-14,3,Product Quality,The item broke within a week of use.
CSAT-00068,ORD-01555,CUST-01682,2025-07-05,6,Customer Service,The item broke within a week of use.
CSAT-00069,ORD-02638,CUST-00436,2025-06-18,7,Packaging,Happy customer. Will order again.
CSAT-00070,ORD-02732,CUST-00335,2025-05-02,9,None,Love it! Shipping was quick.
CSAT-00071,ORD-02562,CUST-00419,2025-05-16,5,Customer Service,Packaging was minimal — item rattled around in the box.
CSAT-00072,ORD-00158,CUST-00539,2025-06-28,6,Delivery Speed,Expected better quality for the price.
CSAT-00073,ORD-00414,CUST-01637,2025-05-19,8,None,Love it! Shipping was quick.
CSAT-00074,ORD-00321,CUST-01041,2025-06-11,8,Product Quality,Love it! Shipping was quick.
CSAT-00075,ORD-01432,CUST-01549,2025-04-15,7,None,Smooth ordering process and fast delivery.
CSAT-00076,ORD-02503,CUST-00792,2025-05-27,7,None,Excellent value for the money.
CSAT-00077,ORD-01145,CUST-00441,2025-06-10,8,Product Quality,Exactly what I needed. Would buy again.
CSAT-00078,ORD-02994,CUST-01397,2025-06-29,7,None,Happy customer. Will order again.
CSAT-00079,ORD-00594,CUST-00837,2025-06-26,6,None,
CSAT-00080,ORD-01343,CUST-00535,2025-05-23,2,Delivery Speed,Took forever to arrive and packaging was torn open.
CSAT-00081,ORD-02568,CUST-01102,2025-06-22,5,Delivery Speed,Product quality was not what I expected.
CSAT-00082,ORD-01592,CUST-01324,2025-06-25,5,Delivery Speed,Wrong color sent. Had to return.
CSAT-00083,ORD-02945,CUST-00614,2025-04-23,8,None,
CSAT-00084,ORD-01347,CUST-01443,2025-07-04,6,Customer Service,Expected better quality for the price.
CSAT-00085,ORD-02974,CUST-01677,2025-04-13,8,None,
CSAT-00086,ORD-01828,CUST-01263,2025-07-15,6,None,
CSAT-00087,ORD-00826,CUST-00404,2025-06-24,7,None,Good experience overall.
CSAT-00088,ORD-01318,CUST-01783,2025-06-21,5,Packaging,
CSAT-00089,ORD-01345,CUST-00088,2025-05-27,8,None,Exactly what I needed. Would buy again.
CSAT-00090,ORD-00734,CUST-00243,2025-04-27,8,None,
CSAT-00091,ORD-00440,CUST-00255,2025-04-12,6,None,
CSAT-00092,ORD-01448,CUST-00111,2025-07-14,8,Product Quality,
CSAT-00093,ORD-01089,CUST-01103,2025-05-27,8,None,"Great product, arrived on time!"
CSAT-00094,ORD-01473,CUST-01205,2025-07-08,6,Delivery Speed,
CSAT-00095,ORD-02582,CUST-00388,2025-06-24,5,Customer Service,Packaging was minimal — item rattled around in the box.
CSAT-00096,ORD-01319,CUST-00733,2025-06-23,5,Product Quality,Took a few extra days but the product is okay.
CSAT-00097,ORD-01059,CUST-01588,2025-05-24,8,None,
CSAT-00098,ORD-02491,CUST-00282,2025-06-04,4,Product Quality,Product quality was not what I expected.
CSAT-00099,ORD-02896,CUST-00842,2025-06-14,7,None,
CSAT-00100,ORD-00973,CUST-00743,2025-05-08,5,Packaging,Customer service was unhelpful when I called about my order.
CSAT-00101,ORD-00720,CUST-01083,2025-06-18,8,None,Excellent value for the money.
CSAT-00102,ORD-00287,CUST-01156,2025-06-03,9,None,Smooth ordering process and fast delivery.
CSAT-00103,ORD-00849,CUST-01533,2025-07-06,3,Product Quality,Packaging was minimal — item rattled around in the box.
CSAT-00104,ORD-01645,CUST-00432,2025-04-27,8,None,Product exceeded my expectations.
CSAT-00105,ORD-01111,CUST-01153,2025-07-10,5,Delivery Speed,
CSAT-00106,ORD-00365,CUST-00921,2025-06-02,7,None,Good experience overall.
CSAT-00107,ORD-01529,CUST-01411,2025-06-20,5,Packaging,Took a few extra days but the product is okay.
CSAT-00108,ORD-02601,CUST-01552,2025-04-15,6,Packaging,Wrong color sent. Had to return.
CSAT-00109,ORD-00497,CUST-01153,2025-04-22,6,Product Quality,Product quality was not what I expected.
CSAT-00110,ORD-02348,CUST-01679,2025-07-02,6,Product Quality,The item broke within a week of use.
CSAT-00111,ORD-00613,CUST-01511,2025-05-04,10,None,Love it! Shipping was quick.
CSAT-00112,ORD-00451,CUST-00148,2025-06-16,6,None,
CSAT-00113,ORD-00504,CUST-00691,2025-07-17,1,Delivery Speed,Item showed up late and the box was crushed.
CSAT-00114,ORD-00616,CUST-01091,2025-06-24,3,Delivery Speed,Product quality was not what I expected.
CSAT-00115,ORD-01556,CUST-00490,2025-05-29,7,Packaging,
CSAT-00116,ORD-01166,CUST-01271,2025-07-10,5,None,
CSAT-00117,ORD-02056,CUST-00128,2025-05-20,6,Packaging,Product quality was not what I expected.
CSAT-00118,ORD-01304,CUST-01245,2025-04-21,10,None,Excellent value for the money.
CSAT-00119,ORD-02311,CUST-01119,2025-05-30,9,Product Quality,Smooth ordering process and fast delivery.
CSAT-00120,ORD-02360,CUST-00381,2025-05-02,6,Packaging,Wrong color sent. Had to return.
CSAT-00121,ORD-02587,CUST-00422,2025-07-16,1,Delivery Speed,The package was supposed to arrive last week. Still waiting.
CSAT-00122,ORD-00659,CUST-01140,2025-06-27,3,Packaging,Product quality was not what I expected.
CSAT-00123,ORD-01427,CUST-00997,2025-04-27,10,None,
CSAT-00124,ORD-01258,CUST-00174,2025-06-01,8,Product Quality,
CSAT-00125,ORD-00704,CUST-01709,2025-05-05,6,None,Customer service was unhelpful when I called about my order.
CSAT-00126,ORD-01162,CUST-00843,2025-06-14,8,None,Excellent value for the money.
CSAT-00127,ORD-00065,CUST-00531,2025-06-17,6,None,Expected better quality for the price.
CSAT-00128,ORD-01376,CUST-00191,2025-06-28,7,None,Excellent value for the money.
CSAT-00129,ORD-02010,CUST-00932,2025-05-01,9,None,Exactly what I needed. Would buy again.
CSAT-00130,ORD-00651,CUST-00691,2025-04-22,7,None,
CSAT-00131,ORD-02384,CUST-01021,2025-05-11,10,None,Fast shipping and good quality.
CSAT-00132,ORD-00974,CUST-01619,2025-06-24,7,None,
CSAT-00133,ORD-02574,CUST-01353,2025-04-20,7,None,Fast shipping and good quality.
CSAT-00134,ORD-02160,CUST-01738,2025-05-13,6,None,
CSAT-00135,ORD-00777,CUST-00237,2025-07-06,8,None,
CSAT-00136,ORD-00459,CUST-00842,2025-05-18,7,None,Excellent value for the money.
CSAT-00137,ORD-01784,CUST-00185,2025-05-04,9,None,
CSAT-00138,ORD-00165,CUST-00273,2025-07-07,3,Product Quality,Not worth the price. Feels cheaply made.
CSAT-00139,ORD-02659,CUST-00194,2025-05-23,8,Product Quality,
CSAT-00140,ORD-01979,CUST-01464,2025-05-05,8,None,"Great product, arrived on time!"
CSAT-00141,ORD-02908,CUST-00990,2025-06-11,8,Packaging,
CSAT-00142,ORD-00341,CUST-00764,2025-06-20,4,Product Quality,Not worth the price. Feels cheaply made.
CSAT-00143,ORD-00532,CUST-00440,2025-07-05,4,Product Quality,Product quality was not what I expected.
CSAT-00144,ORD-01385,CUST-01094,2025-04-30,5,Packaging,Not worth the price. Feels cheaply made.
CSAT-00145,ORD-00208,CUST-00374,2025-07-05,8,Packaging,
CSAT-00146,ORD-00774,CUST-00360,2025-04-20,8,None,Product exceeded my expectations.
CSAT-00147,ORD-01976,CUST-00996,2025-05-11,8,None,
CSAT-00148,ORD-01452,CUST-00028,2025-04-27,10,None,Smooth ordering process and fast delivery.
CSAT-00149,ORD-00168,CUST-00724,2025-04-20,9,None,
CSAT-00150,ORD-02051,CUST-00457,2025-04-25,10,None,Exactly what I needed. Would buy again.
CSAT-00151,ORD-00358,CUST-01025,2025-06-01,6,Packaging,Product quality was not what I expected.
CSAT-00152,ORD-00122,CUST-00390,2025-06-26,7,None,
CSAT-00153,ORD-02038,CUST-00031,2025-05-12,10,Packaging,Smooth ordering process and fast delivery.
CSAT-00154,ORD-00752,CUST-01379,2025-06-12,9,None,
CSAT-00155,ORD-01279,CUST-00748,2025-06-11,7,None,
CSAT-00156,ORD-02764,CUST-01145,2025-04-26,8,None,Smooth ordering process and fast delivery.
CSAT-00157,ORD-00445,CUST-01610,2025-06-14,7,None,Love it! Shipping was quick.
CSAT-00158,ORD-02082,CUST-01689,2025-06-06,8,None,Love it! Shipping was quick.
CSAT-00159,ORD-02650,CUST-00609,2025-04-17,6,Packaging,Took a few extra days but the product is okay.
CSAT-00160,ORD-01702,CUST-00274,2025-06-14,6,Product Quality,
CSAT-00161,ORD-02706,CUST-00201,2025-06-12,9,Packaging,Exactly what I needed. Would buy again.
CSAT-00162,ORD-01292,CUST-01214,2025-06-01,5,Customer Service,
CSAT-00163,ORD-02081,CUST-00288,2025-05-08,3,Delivery Speed,Wrong color sent. Had to return.
CSAT-00164,ORD-02322,CUST-01738,2025-07-04,6,None,The item broke within a week of use.
CSAT-00165,ORD-01720,CUST-01100,2025-06-29,8,None,Excellent value for the money.
CSAT-00166,ORD-02904,CUST-00952,2025-05-14,7,None,"Great product, arrived on time!"
CSAT-00167,ORD-01712,CUST-01110,2025-04-30,8,None,
CSAT-00168,ORD-01536,CUST-00203,2025-04-24,9,None,"Great product, arrived on time!"
CSAT-00169,ORD-01994,CUST-01436,2025-06-17,5,Customer Service,
CSAT-00170,ORD-01014,CUST-01645,2025-04-25,8,None,Excellent value for the money.
CSAT-00171,ORD-01070,CUST-01545,2025-05-08,5,Packaging,Packaging was minimal — item rattled around in the box.
CSAT-00172,ORD-02485,CUST-01088,2025-07-02,5,None,
CSAT-00173,ORD-02875,CUST-00304,2025-04-26,9,None,Exactly what I needed. Would buy again.
CSAT-00174,ORD-01342,CUST-01282,2025-07-08,6,Customer Service,
CSAT-00175,ORD-02064,CUST-01703,2025-07-04,6,Packaging,Not worth the price. Feels cheaply made.
CSAT-00176,ORD-02069,CUST-00403,2025-05-08,10,None,Fast shipping and good quality.
CSAT-00177,ORD-01305,CUST-01622,2025-05-15,6,Product Quality,Not worth the price. Feels cheaply made.
CSAT-00178,ORD-00877,CUST-01167,2025-04-19,6,Customer Service,
CSAT-00179,ORD-01863,CUST-00443,2025-07-15,5,Delivery Speed,
CSAT-00180,ORD-01263,CUST-01608,2025-07-02,3,Customer Service,Took a few extra days but the product is okay.
CSAT-00181,ORD-02521,CUST-00433,2025-04-29,5,Packaging,Product quality was not what I expected.
CSAT-00182,ORD-01857,CUST-00611,2025-06-25,5,Customer Service,Expected better quality for the price.
CSAT-00183,ORD-01803,CUST-00388,2025-05-29,7,None,Smooth ordering process and fast delivery.
CSAT-00184,ORD-01896,CUST-00784,2025-05-29,9,None,
CSAT-00185,ORD-01573,CUST-00363,2025-06-20,3,Product Quality,Wrong color sent. Had to return.
CSAT-00186,ORD-01418,CUST-00954,2025-07-01,5,None,Customer service was unhelpful when I called about my order.
CSAT-00187,ORD-01160,CUST-01054,2025-04-19,10,None,"Great product, arrived on time!"
CSAT-00188,ORD-00583,CUST-01408,2025-05-30,7,None,Product exceeded my expectations.
CSAT-00189,ORD-01819,CUST-01242,2025-05-13,6,None,Packaging was minimal — item rattled around in the box.
CSAT-00190,ORD-02012,CUST-01697,2025-05-09,6,Product Quality,
CSAT-00191,ORD-01638,CUST-00687,2025-06-11,4,Packaging,Wrong color sent. Had to return.
CSAT-00192,ORD-02416,CUST-00718,2025-06-01,7,Product Quality,
CSAT-00193,ORD-00374,CUST-01323,2025-07-08,6,Delivery Speed,Expected better quality for the price.
CSAT-00194,ORD-02341,CUST-00002,2025-04-24,5,Delivery Speed,
CSAT-00195,ORD-02642,CUST-00053,2025-06-23,6,None,Customer service was unhelpful when I called about my order.
CSAT-00196,ORD-01657,CUST-01261,2025-05-02,6,Delivery Speed,Packaging was minimal — item rattled around in the box.
CSAT-00197,ORD-01630,CUST-01029,2025-06-22,7,None,
CSAT-00198,ORD-02435,CUST-00921,2025-06-13,5,Packaging,
CSAT-00199,ORD-02815,CUST-01700,2025-04-29,6,None,Customer service was unhelpful when I called about my order.
CSAT-00200,ORD-01364,CUST-01553,2025-05-14,5,Product Quality,
CSAT-00201,ORD-01757,CUST-01602,2025-05-15,7,None,Good experience overall.
CSAT-00202,ORD-00003,CUST-01655,2025-05-06,7,None,Exactly what I needed. Would buy again.
CSAT-00203,ORD-02436,CUST-01064,2025-04-16,8,None,
CSAT-00204,ORD-02147,CUST-00204,2025-05-17,6,None,Took a few extra days but the product is okay.
CSAT-00205,ORD-01801,CUST-00643,2025-05-05,10,None,Exactly what I needed. Would buy again.
CSAT-00206,ORD-00710,CUST-00488,2025-05-24,8,None,Very happy with my purchase.
CSAT-00207,ORD-02749,CUST-01141,2025-04-12,10,Packaging,Happy customer. Will order again.
CSAT-00208,ORD-02036,CUST-00442,2025-07-05,8,None,Exactly what I needed. Would buy again.
CSAT-00209,ORD-01526,CUST-01093,2025-06-26,6,Product Quality,Expected better quality for the price.
CSAT-00210,ORD-00407,CUST-01596,2025-06-15,6,None,Product quality was not what I expected.
CSAT-00211,ORD-00697,CUST-00969,2025-07-12,4,Packaging,Expected better quality for the price.
CSAT-00212,ORD-02244,CUST-00032,2025-07-01,6,Delivery Speed,
CSAT-00213,ORD-01877,CUST-01307,2025-06-23,10,None,
CSAT-00214,ORD-00412,CUST-01170,2025-04-26,5,Customer Service,Not worth the price. Feels cheaply made.
CSAT-00215,ORD-00463,CUST-00697,2025-05-31,7,None,Fast shipping and good quality.
CSAT-00216,ORD-00812,CUST-01297,2025-06-19,7,None,
CSAT-00217,ORD-01389,CUST-01324,2025-05-10,7,None,Product exceeded my expectations.
CSAT-00218,ORD-01594,CUST-01096,2025-04-16,4,Packaging,Customer service was unhelpful when I called about my order.
CSAT-00219,ORD-02651,CUST-01406,2025-07-04,5,None,Product quality was not what I expected.
CSAT-00220,ORD-00259,CUST-01312,2025-05-29,6,Delivery Speed,
CSAT-00221,ORD-02200,CUST-00110,2025-07-30,1,Delivery Speed,Extremely slow shipping. Will think twice before ordering again.
CSAT-00222,ORD-00413,CUST-01106,2025-07-10,7,Product Quality,Exactly what I needed. Would buy again.
CSAT-00223,ORD-01483,CUST-01383,2025-06-05,7,None,Good experience overall.
CSAT-00224,ORD-01981,CUST-00151,2025-04-20,8,Product Quality,Smooth ordering process and fast delivery.
CSAT-00225,ORD-01667,CUST-00953,2025-04-15,8,None,"Great product, arrived on time!"
CSAT-00226,ORD-02193,CUST-01202,2025-05-01,8,Packaging,Fast shipping and good quality.
CSAT-00227,ORD-01545,CUST-00883,2025-06-22,8,None,Product exceeded my expectations.
CSAT-00228,ORD-02476,CUST-00205,2025-05-23,7,None,Excellent value for the money.
CSAT-00229,ORD-01576,CUST-01744,2025-04-24,10,None,
CSAT-00230,ORD-02953,CUST-00904,2025-07-01,5,Packaging,Took a few extra days but the product is okay.
CSAT-00231,ORD-00362,CUST-00313,2025-07-14,7,None,
CSAT-00232,ORD-02763,CUST-00701,2025-05-01,8,None,Fast shipping and good quality.
CSAT-00233,ORD-01633,CUST-01053,2025-05-11,5,Customer Service,Not worth the price. Feels cheaply made.
CSAT-00234,ORD-00108,CUST-00453,2025-05-29,6,Delivery Speed,
CSAT-00235,ORD-02324,CUST-01645,2025-05-15,3,Delivery Speed,Product was fine but the shipping delay ruined my plans.
CSAT-00236,ORD-01477,CUST-00282,2025-06-07,8,None,Happy customer. Will order again.
CSAT-00237,ORD-00010,CUST-01430,2025-05-28,7,None,Product exceeded my expectations.
CSAT-00238,ORD-00290,CUST-00922,2025-05-31,8,None,
CSAT-00239,ORD-01184,CUST-00557,2025-06-17,4,Delivery Speed,The item broke within a week of use.
CSAT-00240,ORD-02942,CUST-00422,2025-06-20,8,None,Smooth ordering process and fast delivery.
CSAT-00241,ORD-01003,CUST-01043,2025-04-23,7,None,
CSAT-00242,ORD-00584,CUST-00459,2025-04-19,8,None,Product exceeded my expectations.
CSAT-00243,ORD-00340,CUST-01136,2025-05-07,8,None,"Great product, arrived on time!"
CSAT-00244,ORD-01987,CUST-00671,2025-06-13,4,Delivery Speed,Package arrived two weeks late with no explanation.
CSAT-00245,ORD-00169,CUST-00943,2025-05-25,9,None,
CSAT-00246,ORD-00637,CUST-00446,2025-06-12,7,None,
CSAT-00247,ORD-02092,CUST-00493,2025-06-29,7,None,
CSAT-00248,ORD-00109,CUST-00786,2025-06-18,9,None,
CSAT-00249,ORD-01293,CUST-00340,2025-07-11,2,Delivery Speed,Heavy item was left at the wrong address initially.
CSAT-00250,ORD-01224,CUST-00744,2025-06-24,7,None,Fast shipping and good quality.
CSAT-00251,ORD-02982,CUST-00074,2025-04-16,9,None,Smooth ordering process and fast delivery.
CSAT-00252,ORD-01888,CUST-00808,2025-04-22,3,Delivery Speed,No tracking updates for over a week. Very frustrating.
CSAT-00253,ORD-00589,CUST-00409,2025-05-30,6,None,
CSAT-00254,ORD-00949,CUST-00556,2025-04-13,7,None,Smooth ordering process and fast delivery.
CSAT-00255,ORD-00477,CUST-00116,2025-04-26,10,None,"Great product, arrived on time!"
CSAT-00256,ORD-01533,CUST-00302,2025-04-20,9,None,Good experience overall.
CSAT-00257,ORD-00920,CUST-01751,2025-05-03,5,Customer Service,Wrong color sent. Had to return.
CSAT-00258,ORD-01107,CUST-00756,2025-07-01,7,None,
CSAT-00259,ORD-02988,CUST-01295,2025-05-07,6,Product Quality,Product quality was not what I expected.
CSAT-00260,ORD-00306,CUST-00922,2025-06-12,4,Delivery Speed,Not worth the price. Feels cheaply made.
CSAT-00261,ORD-01286,CUST-01673,2025-04-17,8,None,
CSAT-00262,ORD-02295,CUST-01751,2025-06-01,1,Delivery Speed,Heavy item was left at the wrong address initially.
CSAT-00263,ORD-01189,CUST-01287,2025-07-12,4,Product Quality,Not worth the price. Feels cheaply made.
CSAT-00264,ORD-01811,CUST-01357,2025-06-04,9,None,Good experience overall.
CSAT-00265,ORD-02774,CUST-00244,2025-04-21,7,None,
CSAT-00266,ORD-00819,CUST-00718,2025-07-05,6,Customer Service,Took a few extra days but the product is okay.
CSAT-00267,ORD-00503,CUST-00997,2025-06-15,5,Customer Service,Packaging was minimal — item rattled around in the box.
CSAT-00268,ORD-01774,CUST-00511,2025-05-17,7,Packaging,Exactly what I needed. Would buy again.
CSAT-00269,ORD-01758,CUST-00313,2025-04-24,8,None,Good experience overall.
CSAT-00270,ORD-00671,CUST-00766,2025-05-26,8,None,Happy customer. Will order again.
CSAT-00271,ORD-00283,CUST-00040,2025-04-27,9,None,Love it! Shipping was quick.
CSAT-00272,ORD-02727,CUST-01028,2025-06-14,7,None,Love it! Shipping was quick.
CSAT-00273,ORD-01256,CUST-00786,2025-05-17,6,Product Quality,Expected better quality for the price.
CSAT-00274,ORD-01928,CUST-01163,2025-07-01,1,Delivery Speed,Worst delivery experience I've ever had.
CSAT-00275,ORD-02695,CUST-00909,2025-05-15,5,Delivery Speed,The item broke within a week of use.
CSAT-00276,ORD-01682,CUST-01765,2025-07-28,1,Delivery Speed,Late delivery and damaged packaging. Very disappointed.
CSAT-00277,ORD-01654,CUST-01380,2025-07-18,5,None,Not worth the price. Feels cheaply made.
CSAT-00278,ORD-02336,CUST-00927,2025-07-09,6,None,
CSAT-00279,ORD-01562,CUST-01603,2025-05-05,6,Customer Service,
CSAT-00280,ORD-01617,CUST-01589,2025-05-08,9,Product Quality,
CSAT-00281,ORD-02785,CUST-01202,2025-07-03,4,Product Quality,Product quality was not what I expected.
CSAT-00282,ORD-02655,CUST-00209,2025-04-26,8,None,
CSAT-00283,ORD-00346,CUST-00427,2025-05-19,6,Delivery Speed,Not worth the price. Feels cheaply made.
CSAT-00284,ORD-01207,CUST-01298,2025-05-09,9,None,Love it! Shipping was quick.
CSAT-00285,ORD-01579,CUST-01245,2025-04-20,2,Delivery Speed,My furniture arrived with visible damage from shipping.
CSAT-00286,ORD-01365,CUST-01007,2025-06-22,4,Delivery Speed,Expected better quality for the price.
CSAT-00287,ORD-00404,CUST-00821,2025-05-11,5,Delivery Speed,Not worth the price. Feels cheaply made.
CSAT-00288,ORD-01652,CUST-00429,2025-05-07,7,Packaging,
CSAT-00289,ORD-01546,CUST-01300,2025-04-27,4,Delivery Speed,Late delivery and damaged packaging. Very disappointed.
CSAT-00290,ORD-01959,CUST-01243,2025-06-17,8,Packaging,
CSAT-00291,ORD-00491,CUST-00549,2025-06-26,4,Packaging,The item broke within a week of use.
CSAT-00292,ORD-02218,CUST-00136,2025-06-19,6,Delivery Speed,Expected better quality for the price.
CSAT-00293,ORD-02075,CUST-01540,2025-05-07,7,Product Quality,Very happy with my purchase.
CSAT-00294,ORD-01269,CUST-00626,2025-06-28,4,Delivery Speed,Product quality was not what I expected.
CSAT-00295,ORD-02865,CUST-01768,2025-05-08,10,Packaging,Good experience overall.
CSAT-00296,ORD-02438,CUST-00942,2025-04-15,9,None,
CSAT-00297,ORD-01985,CUST-00497,2025-05-22,8,None,Fast shipping and good quality.
CSAT-00298,ORD-00036,CUST-00378,2025-05-29,10,None,Good experience overall.
CSAT-00299,ORD-00236,CUST-00131,2025-06-15,8,None,Very happy with my purchase.
CSAT-00300,ORD-02914,CUST-01052,2025-04-21,8,None,
CSAT-00301,ORD-01912,CUST-00023,2025-04-30,2,Delivery Speed,No tracking updates for over a week. Very frustrating.
CSAT-00302,ORD-01518,CUST-00023,2025-07-03,3,Product Quality,Customer service was unhelpful when I called about my order.
CSAT-00303,ORD-02268,CUST-01663,2025-06-07,7,None,Happy customer. Will order again.
CSAT-00304,ORD-02120,CUST-00008,2025-06-06,5,None,Packaging was minimal — item rattled around in the box.
CSAT-00305,ORD-01929,CUST-01637,2025-06-05,5,None,
CSAT-00306,ORD-01026,CUST-01686,2025-06-22,1,Customer Service,I had to rearrange my schedule three times for this delivery.
