product_id,product_name,category,weight_class,unit_price
PROD-0166,Streaming Stick v2,Electronics,Medium,146.22
PROD-0167,Scarf v5,Clothing,Light,33.02
PROD-0168,USB Flash Drive v5,Electronics,Light,46.05
PROD-0169,Office Chair Cushion v4,Furniture,Medium,129.35
PROD-0170,External SSD v4,Electronics,Medium,118.25
PROD-0171,USB Flash Drive v4,Electronics,Light,45.83
PROD-0172,Keyboard v6,Electronics,Medium,30.42
PROD-0173,Garden Gloves v7,Home & Garden,Light,36.82
PROD-0174,Gaming Monitor v6,Electronics,Heavy,519.64
PROD-0175,Paper Ream (5-Pack) v6,Office Supplies,Medium,126.26
PROD-0176,Gloves v8,Clothing,Light,26.62
PROD-0177,Office Desk v4,Furniture,Heavy,437.96
PROD-0178,Keyboard v2 v4,Electronics,Medium,123.32
PROD-0179,Stapler v9,Office Supplies,Light,22.09
PROD-0180,Keyboard v2 v6 v9,Electronics,Medium,69.0
PROD-0181,Stapler v6,Office Supplies,Light,18.24
PROD-0182,Winter Jacket v9,Clothing,Medium,34.35
PROD-0183,Garden Gloves v9,Home & Garden,Light,22.82
PROD-0184,Cycling Helmet v3 v3,Sporting Goods,Medium,127.29
PROD-0185,Charging Cable v5,Electronics,Light,25.72
PROD-0186,Punching Bag v5,Sporting Goods,Heavy,589.67
PROD-0187,Keyboard v2 v4,Electronics,Medium,40.95
PROD-0188,Home Gym System v2,Sporting Goods,Oversized,642.39
PROD-0189,Weight Bench v5,Sporting Goods,Heavy,242.98
PROD-0190,Desk Lamp v8,Furniture,Light,6.0
PROD-0191,Tablet Stand v2,Electronics,Medium,26.02
PROD-0192,Dehumidifier v8,Appliances,Heavy,467.76
PROD-0193,UPS Battery Backup v2,Electronics,Heavy,340.07
PROD-0194,Sticky Notes v6,Office Supplies,Light,44.0
PROD-0195,Office Chair Cushion v4,Furniture,Medium,98.23
PROD-0196,Bookend Set v7,Furniture,Medium,108.64
PROD-0197,Air Fryer v9,Appliances,Medium,63.12
PROD-0198,Dehumidifier v9 v2,Appliances,Heavy,160.93
PROD-0199,Pergola Kit v6,Home & Garden,Oversized,341.97
PROD-0200,Bookshelf v5,Furniture,Heavy,294.69
