transaction_id,posting_date,gl_account_id,gl_account_name,cost_center_id,vendor,description,amount_usd,expense_type,fiscal_quarter,fiscal_year
GL-002953,2025-07-28,6500,Professional Services,CC-103,Palo Alto Networks,Professional Services — Engineering — Jul 2025,12577.71,Recurring,Q3 2025,FY2025
GL-001060,2025-01-30,6500,Professional Services,CC-117,Datadog Inc,Professional Services — Marketing — Jan 2025,26866.14,Recurring,Q1 2025,FY2025
GL-005049,2025-07-10,6500,Professional Services,CC-115,Fortinet Inc,Professional Services — Marketing — Jul 2025,18557.45,Recurring,Q3 2025,FY2025
GL-004007,2025-06-30,6600,Equipment & Hardware,CC-150,Workday Inc,Equipment — Operations — Jun 2025,14893.79,Recurring,Q2 2025,FY2025
GL-003758,2025-04-13,6200,Travel & Entertainment,CC-169,CBRE Group,Travel — Executive — Apr 2025,3291.85,Recurring,Q2 2025,FY2025
GL-004483,2026-05-01,6500,Professional Services,CC-148,Mercer Consulting,Professional Services — Product — May 2026,30683.14,Recurring,Q2 2026,FY2026
GL-000612,2025-07-16,6110,Employee Benefits,CC-111,ADP Payroll,Benefits — Sales — Jul 2025,2198.43,Recurring,Q3 2025,FY2025
GL-002039,2025-02-12,6400,Facilities & Occupancy,CC-107,Mercer Consulting,Facilities — Sales — Feb 2025,7434.15,Recurring,Q1 2025,FY2025
GL-003282,2025-02-23,6600,Equipment & Hardware,CC-136,Palo Alto Networks,Equipment — Legal — Feb 2025,12451.51,Recurring,Q1 2025,FY2025
GL-000374,2026-03-23,6400,Facilities & Occupancy,CC-158,Oracle Corp,Facilities — IT — Mar 2026,3895.6,Recurring,Q1 2026,FY2026
GL-002216,2026-01-19,6200,Travel & Entertainment,CC-105,Oracle Corp,Travel — Engineering — Jan 2026,3290.73,Recurring,Q1 2026,FY2026
GL-001227,2025-03-31,6110,Employee Benefits,CC-152,Fortinet Inc,Benefits — Operations — Mar 2025,3270.72,Recurring,Q1 2025,FY2025
GL-005825,2025-06-23,6200,Travel & Entertainment,CC-135,JLL Real Estate,Travel — Legal — Jun 2025,2871.75,Recurring,Q2 2025,FY2025
GL-001269,2025-05-12,6200,Travel & Entertainment,CC-145,Fortinet Inc,Travel — Product — May 2025,3485.93,Recurring,Q2 2025,FY2025
GL-000678,2025-01-18,6100,Salaries & Wages,CC-115,PwC Advisory,Compensation — Marketing — Jan 2025,9214.0,Recurring,Q1 2025,FY2025
GL-002118,2026-02-16,6400,Facilities & Occupancy,CC-126,KPMG Consulting,Facilities — Finance — Feb 2026,4726.98,Recurring,Q1 2026,FY2026
GL-004042,2025-03-10,6700,Training & Development,CC-134,SAP SE,Training — HR — Mar 2025,1936.31,Recurring,Q1 2025,FY2025
GL-002986,2026-05-07,6700,Training & Development,CC-157,WeWork Office,Training — IT — May 2026,4844.51,Recurring,Q2 2026,FY2026
GL-000464,2025-05-19,6700,Training & Development,CC-168,IDC Advisory,Training — Executive — May 2025,2148.55,Recurring,Q2 2025,FY2025
GL-002522,2026-05-25,6600,Equipment & Hardware,CC-109,Palo Alto Networks,Equipment — Sales — May 2026,4442.66,Recurring,Q2 2026,FY2026
GL-002108,2025-04-14,6110,Employee Benefits,CC-113,WeWork Office,Benefits — Sales — Apr 2025,4165.65,Recurring,Q2 2025,FY2025
GL-002371,2025-07-11,6500,Professional Services,CC-161,Marriott Hotels,Professional Services — IT — Jul 2025,44185.17,Recurring,Q3 2025,FY2025
GL-005309,2025-07-28,6500,Professional Services,CC-166,Willis Towers Watson,Professional Services — Executive — Jul 2025,38471.37,Recurring,Q3 2025,FY2025
GL-003124,2025-08-18,6400,Facilities & Occupancy,CC-131,CrowdStrike Holdings,Facilities — HR — Aug 2025,4580.06,Recurring,Q3 2025,FY2025
GL-005679,2025-12-01,6200,Travel & Entertainment,CC-137,Hays Recruiting,Travel — Legal — Dec 2025,100.0,Recurring,Q4 2025,FY2025
GL-005395,2026-03-13,6100,Salaries & Wages,CC-159,AWS Cloud Services,Compensation — IT — Mar 2026,7196.28,Recurring,Q1 2026,FY2026
GL-002805,2025-12-09,6300,Software & Subscriptions,CC-114,KPMG Consulting,Software — Marketing — Dec 2025,16074.29,Recurring,Q4 2025,FY2025
GL-004360,2026-05-11,6700,Training & Development,CC-115,Datadog Inc,Training — Marketing — May 2026,3459.2,Recurring,Q2 2026,FY2026
GL-002704,2025-03-03,6400,Facilities & Occupancy,CC-131,PwC Advisory,Facilities — HR — Mar 2025,8771.53,Recurring,Q1 2025,FY2025
GL-004541,2025-02-26,6500,Professional Services,CC-110,Salesforce Inc,Professional Services — Sales — Feb 2025,7803.06,Recurring,Q1 2025,FY2025
GL-001889,2025-04-21,6500,Professional Services,CC-114,KPMG Consulting,Professional Services — Marketing — Apr 2025,25674.76,Recurring,Q2 2025,FY2025
GL-005163,2025-02-04,6500,Professional Services,CC-152,Accenture Consulting,Professional Services — Operations — Feb 2025,24617.53,Recurring,Q1 2025,FY2025
GL-003347,2025-04-16,6400,Facilities & Occupancy,CC-148,Baker McKenzie LLP,Facilities — Product — Apr 2025,4722.03,Recurring,Q2 2025,FY2025
GL-000178,2026-04-16,6300,Software & Subscriptions,CC-131,Perkins Coie LLP,Software — HR — Apr 2026,6335.35,Recurring,Q2 2026,FY2026
GL-001759,2025-10-27,6110,Employee Benefits,CC-112,Latham & Watkins,Benefits — Sales — Oct 2025,2299.33,Recurring,Q4 2025,FY2025
GL-002529,2026-02-10,6700,Training & Development,CC-165,UPS Logistics,Training — Executive — Feb 2026,1178.04,Recurring,Q1 2026,FY2026
GL-000683,2025-12-27,6200,Travel & Entertainment,CC-104,Palo Alto Networks,Travel — Engineering — Dec 2025,916.28,Recurring,Q4 2025,FY2025
GL-000813,2025-06-25,6700,Training & Development,CC-154,JLL Real Estate,Training — Operations — Jun 2025,2735.12,Recurring,Q2 2025,FY2025
GL-004877,2025-04-25,6110,Employee Benefits,CC-147,United Airlines,Benefits — Product — Apr 2025,6094.22,Recurring,Q2 2025,FY2025
GL-002037,2026-03-09,6700,Training & Development,CC-146,SAP SE,Training — Product — Mar 2026,1995.02,Recurring,Q1 2026,FY2026
GL-001656,2025-08-22,6500,Professional Services,CC-126,Zscaler Inc,Professional Services — Finance — Aug 2025,42481.95,Recurring,Q3 2025,FY2025
GL-001895,2025-07-10,6400,Facilities & Occupancy,CC-154,Baker McKenzie LLP,Facilities — Operations — Jul 2025,2281.76,Recurring,Q3 2025,FY2025
GL-002763,2025-05-05,6600,Equipment & Hardware,CC-125,Gartner Inc,Equipment — Finance — May 2025,9811.73,Recurring,Q2 2025,FY2025
GL-000471,2026-02-10,6600,Equipment & Hardware,CC-104,Hays Recruiting,Equipment — Engineering — Feb 2026,3306.14,Recurring,Q1 2026,FY2026
GL-001860,2025-11-11,6600,Equipment & Hardware,CC-122,United Airlines,Equipment — Finance — Nov 2025,4256.98,Recurring,Q4 2025,FY2025
GL-000839,2025-05-01,6500,Professional Services,CC-122,Palo Alto Networks,Professional Services — Finance — May 2025,20538.24,Recurring,Q2 2025,FY2025
GL-005906,2025-07-17,6800,One-Time Project Costs,CC-901,Zscaler Inc,Project: Revenue Recognition Replatform — originated by Operations,3524.33,One-Time,Q3 2025,FY2025
GL-001582,2026-04-28,6600,Equipment & Hardware,CC-161,IDC Advisory,Equipment — IT — Apr 2026,11537.06,Recurring,Q2 2026,FY2026
GL-002504,2025-12-30,6110,Employee Benefits,CC-123,Baker McKenzie LLP,Benefits — Finance — Dec 2025,4916.56,Recurring,Q4 2025,FY2025
GL-000607,2025-01-17,6110,Employee Benefits,CC-149,Accenture Consulting,Benefits — Operations — Jan 2025,2136.59,Recurring,Q1 2025,FY2025
GL-004850,2025-04-21,6700,Training & Development,CC-117,Gartner Inc,Training — Marketing — Apr 2025,2105.97,Recurring,Q2 2025,FY2025
GL-005862,2025-07-10,6800,One-Time Project Costs,CC-901,Snowflake Computing,Project: SOC 2 Certification Push — originated by Operations,10832.41,One-Time,Q3 2025,FY2025
GL-003150,2026-05-25,6600,Equipment & Hardware,CC-156,Microsoft Azure,Equipment — IT — May 2026,13520.54,Recurring,Q2 2026,FY2026
GL-004391,2025-11-10,6500,Professional Services,CC-127,CrowdStrike Holdings,Professional Services — Finance — Nov 2025,19735.38,Recurring,Q4 2025,FY2025
GL-003601,2025-05-12,6200,Travel & Entertainment,CC-167,JLL Real Estate,Travel — Executive — May 2025,2708.22,Recurring,Q2 2025,FY2025
GL-004429,2026-01-16,6110,Employee Benefits,CC-136,Fortinet Inc,Benefits — Legal — Jan 2026,5338.75,Recurring,Q1 2026,FY2026
GL-004191,2025-05-12,6100,Salaries & Wages,CC-114,SAP SE,Compensation — Marketing — May 2025,12481.5,Recurring,Q2 2025,FY2025
GL-000202,2025-08-05,6200,Travel & Entertainment,CC-100,AWS Cloud Services,Travel — Engineering — Aug 2025,1436.26,Recurring,Q3 2025,FY2025
GL-005806,2025-03-31,6110,Employee Benefits,CC-104,LinkedIn Talent,Benefits — Engineering — Mar 2025,3775.9,Recurring,Q1 2025,FY2025
GL-001059,2025-08-05,6110,Employee Benefits,CC-114,WeWork Office,Benefits — Marketing — Aug 2025,4511.49,Recurring,Q3 2025,FY2025
GL-001174,2026-01-13,6700,Training & Development,CC-114,Dell Technologies,Training — Marketing — Jan 2026,1269.5,Recurring,Q1 2026,FY2026
GL-001499,2025-03-06,6300,Software & Subscriptions,CC-102,ADP Payroll,Software — Engineering — Mar 2025,4545.39,Recurring,Q1 2025,FY2025
GL-003939,2025-04-07,6300,Software & Subscriptions,CC-130,ServiceNow Inc,Software — HR — Apr 2025,8086.21,Recurring,Q2 2025,FY2025
GL-004563,2025-09-22,6100,Salaries & Wages,CC-158,Mercer Consulting,Compensation — IT — Sep 2025,13298.26,Recurring,Q3 2025,FY2025
GL-002511,2025-03-10,6110,Employee Benefits,CC-138,KPMG Consulting,Benefits — Legal — Mar 2025,6484.2,Recurring,Q1 2025,FY2025
GL-001052,2025-05-06,6400,Facilities & Occupancy,CC-161,United Airlines,Facilities — IT — May 2025,5515.39,Recurring,Q2 2025,FY2025
GL-003192,2026-05-28,6110,Employee Benefits,CC-151,Robert Half,Benefits — Operations — May 2026,3154.25,Recurring,Q2 2026,FY2026
GL-005325,2025-11-25,6200,Travel & Entertainment,CC-146,Marriott Hotels,Travel — Product — Nov 2025,2080.41,Recurring,Q4 2025,FY2025
GL-002771,2026-04-27,6700,Training & Development,CC-100,UPS Logistics,Training — Engineering — Apr 2026,3233.59,Recurring,Q2 2026,FY2026
GL-005547,2026-01-22,6400,Facilities & Occupancy,CC-149,United Airlines,Facilities — Operations — Jan 2026,4671.04,Recurring,Q1 2026,FY2026
GL-005551,2026-04-06,6500,Professional Services,CC-157,American Express Travel,Professional Services — IT — Apr 2026,28847.9,Recurring,Q2 2026,FY2026
GL-000650,2025-12-01,6700,Training & Development,CC-152,CrowdStrike Holdings,Training — Operations — Dec 2025,2387.22,Recurring,Q4 2025,FY2025
GL-005099,2026-03-19,6200,Travel & Entertainment,CC-150,HP Enterprise,Travel — Operations — Mar 2026,841.19,Recurring,Q1 2026,FY2026
GL-004110,2025-08-27,6110,Employee Benefits,CC-112,Forrester Research,Benefits — Sales — Aug 2025,5455.81,Recurring,Q3 2025,FY2025
GL-001135,2025-09-30,6600,Equipment & Hardware,CC-110,Mercer Consulting,Equipment — Sales — Sep 2025,15535.75,Recurring,Q3 2025,FY2025
GL-003789,2026-01-26,6700,Training & Development,CC-120,ADP Payroll,Training — Marketing — Jan 2026,1409.48,Recurring,Q1 2026,FY2026
GL-003538,2025-08-18,6500,Professional Services,CC-104,AWS Cloud Services,Professional Services — Engineering — Aug 2025,35604.0,Recurring,Q3 2025,FY2025
GL-004372,2025-06-24,6300,Software & Subscriptions,CC-106,ADP Payroll,Software — Engineering — Jun 2025,7530.57,Recurring,Q2 2025,FY2025
GL-003976,2026-04-08,6100,Salaries & Wages,CC-152,Latham & Watkins,Compensation — Operations — Apr 2026,10853.56,Recurring,Q2 2026,FY2026
GL-002425,2025-09-08,6200,Travel & Entertainment,CC-113,Forrester Research,Travel — Sales — Sep 2025,463.57,Recurring,Q3 2025,FY2025
GL-003002,2025-11-03,6300,Software & Subscriptions,CC-161,Oracle Corp,Software — IT — Nov 2025,2167.77,Recurring,Q4 2025,FY2025
GL-004844,2025-01-25,6200,Travel & Entertainment,CC-134,ADP Payroll,Travel — HR — Jan 2025,2607.9,Recurring,Q1 2025,FY2025
GL-000655,2025-02-05,6500,Professional Services,CC-136,Forrester Research,Professional Services — Legal — Feb 2025,33647.66,Recurring,Q1 2025,FY2025
GL-002314,2025-01-02,6600,Equipment & Hardware,CC-104,Salesforce Inc,Equipment — Engineering — Jan 2025,2406.73,Recurring,Q1 2025,FY2025
GL-003043,2025-11-09,6110,Employee Benefits,CC-167,FedEx Shipping,Benefits — Executive — Nov 2025,785.07,Recurring,Q4 2025,FY2025
GL-004940,2025-03-24,6100,Salaries & Wages,CC-136,Forrester Research,Compensation — Legal — Mar 2025,17759.21,Recurring,Q1 2025,FY2025
GL-001489,2025-10-22,6700,Training & Development,CC-144,Snowflake Computing,Training — Product — Oct 2025,2664.53,Recurring,Q4 2025,FY2025
GL-001719,2025-02-10,6400,Facilities & Occupancy,CC-123,Perkins Coie LLP,Facilities — Finance — Feb 2025,5355.62,Recurring,Q1 2025,FY2025
GL-003221,2026-04-07,6100,Salaries & Wages,CC-150,Oracle Corp,Compensation — Operations — Apr 2026,14583.68,Recurring,Q2 2026,FY2026
GL-002938,2025-01-06,6700,Training & Development,CC-130,Willis Towers Watson,Training — HR — Jan 2025,899.17,Recurring,Q1 2025,FY2025
GL-002463,2026-04-20,6100,Salaries & Wages,CC-162,McKinsey & Company,Compensation — IT — Apr 2026,20492.17,Recurring,Q2 2026,FY2026
GL-002198,2025-07-24,6500,Professional Services,CC-142,Snowflake Computing,Professional Services — Product — Jul 2025,13760.16,Recurring,Q3 2025,FY2025
GL-002413,2025-05-05,6110,Employee Benefits,CC-117,Workday Inc,Benefits — Marketing — May 2025,3887.57,Recurring,Q2 2025,FY2025
GL-004976,2025-02-17,6600,Equipment & Hardware,CC-132,CrowdStrike Holdings,Equipment — HR — Feb 2025,8947.13,Recurring,Q1 2025,FY2025
GL-003453,2025-05-04,6600,Equipment & Hardware,CC-165,Hays Recruiting,Equipment — Executive — May 2025,10032.51,Recurring,Q2 2025,FY2025
GL-000688,2025-01-30,6300,Software & Subscriptions,CC-108,ServiceNow Inc,Software — Sales — Jan 2025,8999.34,Recurring,Q1 2025,FY2025
GL-005566,2026-02-20,6300,Software & Subscriptions,CC-136,ADP Payroll,Software — Legal — Feb 2026,5027.57,Recurring,Q1 2026,FY2026
GL-004295,2025-01-11,6600,Equipment & Hardware,CC-149,ADP Payroll,Equipment — Operations — Jan 2025,9430.14,Recurring,Q1 2025,FY2025
GL-004184,2026-05-04,6700,Training & Development,CC-134,Zscaler Inc,Training — HR — May 2026,100.0,Recurring,Q2 2026,FY2026
GL-000281,2026-01-01,6300,Software & Subscriptions,CC-114,Palo Alto Networks,Software — Marketing — Jan 2026,12270.29,Recurring,Q1 2026,FY2026
GL-003169,2025-07-10,6110,Employee Benefits,CC-117,Baker McKenzie LLP,Benefits — Marketing — Jul 2025,2959.58,Recurring,Q3 2025,FY2025
GL-000975,2025-07-11,6110,Employee Benefits,CC-124,Palo Alto Networks,Benefits — Finance — Jul 2025,1988.84,Recurring,Q3 2025,FY2025
GL-001075,2025-12-23,6600,Equipment & Hardware,CC-142,Iron Mountain,Equipment — Product — Dec 2025,13449.11,Recurring,Q4 2025,FY2025
GL-000561,2025-10-13,6400,Facilities & Occupancy,CC-165,Datadog Inc,Facilities — Executive — Oct 2025,5612.03,Recurring,Q4 2025,FY2025
GL-000885,2025-11-03,6200,Travel & Entertainment,CC-138,Fortinet Inc,Travel — Legal — Nov 2025,2416.35,Recurring,Q4 2025,FY2025
GL-002364,2025-01-31,6600,Equipment & Hardware,CC-138,American Express Travel,Equipment — Legal — Jan 2025,9638.24,Recurring,Q1 2025,FY2025
GL-005210,2025-11-25,6110,Employee Benefits,CC-119,ServiceNow Inc,Benefits — Marketing — Nov 2025,3838.83,Recurring,Q4 2025,FY2025
GL-001513,2026-04-03,6700,Training & Development,CC-139,SAP SE,Training — Legal — Apr 2026,2473.36,Recurring,Q2 2026,FY2026
GL-004618,2026-04-05,6300,Software & Subscriptions,CC-156,American Express Travel,Software — IT — Apr 2026,6179.59,Recurring,Q2 2026,FY2026
GL-002945,2026-02-11,6400,Facilities & Occupancy,CC-146,Latham & Watkins,Facilities — Product — Feb 2026,8915.55,Recurring,Q1 2026,FY2026
GL-000608,2025-07-03,6400,Facilities & Occupancy,CC-110,Marriott Hotels,Facilities — Sales — Jul 2025,4113.63,Recurring,Q3 2025,FY2025
GL-004327,2025-12-08,6400,Facilities & Occupancy,CC-155,Zscaler Inc,Facilities — Operations — Dec 2025,4366.39,Recurring,Q4 2025,FY2025
GL-004509,2026-02-20,6400,Facilities & Occupancy,CC-138,SAP SE,Facilities — Legal — Feb 2026,4938.53,Recurring,Q1 2026,FY2026
GL-001169,2025-09-28,6400,Facilities & Occupancy,CC-144,Microsoft Azure,Facilities — Product — Sep 2025,4174.66,Recurring,Q3 2025,FY2025
GL-001870,2026-01-07,6500,Professional Services,CC-167,Zscaler Inc,Professional Services — Executive — Jan 2026,36774.44,Recurring,Q1 2026,FY2026
GL-000018,2026-05-28,6500,Professional Services,CC-114,Oracle Corp,Professional Services — Marketing — May 2026,16016.41,Recurring,Q2 2026,FY2026
GL-003293,2025-09-23,6110,Employee Benefits,CC-131,CrowdStrike Holdings,Benefits — HR — Sep 2025,4408.33,Recurring,Q3 2025,FY2025
GL-000258,2025-11-05,6500,Professional Services,CC-149,ServiceNow Inc,Professional Services — Operations — Nov 2025,28227.25,Recurring,Q4 2025,FY2025
GL-003550,2025-07-17,6600,Equipment & Hardware,CC-103,LinkedIn Talent,Equipment — Engineering — Jul 2025,12956.55,Recurring,Q3 2025,FY2025
GL-005607,2025-05-26,6100,Salaries & Wages,CC-147,McKinsey & Company,Compensation — Product — May 2025,20142.16,Recurring,Q2 2025,FY2025
GL-005716,2025-02-13,6110,Employee Benefits,CC-115,Willis Towers Watson,Benefits — Marketing — Feb 2025,5783.95,Recurring,Q1 2025,FY2025
GL-005686,2025-02-17,6110,Employee Benefits,CC-137,Oracle Corp,Benefits — Legal — Feb 2025,1741.4,Recurring,Q1 2025,FY2025
GL-005496,2026-05-25,6500,Professional Services,CC-126,IDC Advisory,Professional Services — Finance — May 2026,37577.85,Recurring,Q2 2026,FY2026
GL-000724,2025-12-20,6500,Professional Services,CC-142,Robert Half,Professional Services — Product — Dec 2025,21209.42,Recurring,Q4 2025,FY2025
GL-000617,2025-02-14,6100,Salaries & Wages,CC-111,Dell Technologies,Compensation — Sales — Feb 2025,21617.75,Recurring,Q1 2025,FY2025
GL-005681,2025-05-27,6700,Training & Development,CC-140,Cisco Systems,Training — Legal — May 2025,1663.61,Recurring,Q2 2025,FY2025
GL-004284,2026-04-08,6400,Facilities & Occupancy,CC-131,Dell Technologies,Facilities — HR — Apr 2026,8502.31,Recurring,Q2 2026,FY2026
GL-002322,2026-03-30,6400,Facilities & Occupancy,CC-166,United Airlines,Facilities — Executive — Mar 2026,7364.53,Recurring,Q1 2026,FY2026
GL-003967,2025-07-28,6600,Equipment & Hardware,CC-125,Forrester Research,Equipment — Finance — Jul 2025,13930.49,Recurring,Q3 2025,FY2025
GL-002129,2026-05-10,6300,Software & Subscriptions,CC-157,KPMG Consulting,Software — IT — May 2026,5577.79,Recurring,Q2 2026,FY2026
GL-000854,2025-11-17,6100,Salaries & Wages,CC-114,Datadog Inc,Compensation — Marketing — Nov 2025,19289.51,Recurring,Q4 2025,FY2025
GL-003003,2026-04-20,6400,Facilities & Occupancy,CC-137,Zscaler Inc,Facilities — Legal — Apr 2026,2690.54,Recurring,Q2 2026,FY2026
GL-004770,2025-08-07,6500,Professional Services,CC-140,PwC Advisory,Professional Services — Legal — Aug 2025,18723.89,Recurring,Q3 2025,FY2025
GL-003307,2025-03-06,6100,Salaries & Wages,CC-104,Zscaler Inc,Compensation — Engineering — Mar 2025,19554.89,Recurring,Q1 2025,FY2025
GL-003323,2026-05-11,6100,Salaries & Wages,CC-127,JLL Real Estate,Compensation — Finance — May 2026,13781.17,Recurring,Q2 2026,FY2026
GL-003721,2025-06-23,6110,Employee Benefits,CC-109,LinkedIn Talent,Benefits — Sales — Jun 2025,4197.26,Recurring,Q2 2025,FY2025
GL-003644,2025-04-27,6400,Facilities & Occupancy,CC-129,ServiceNow Inc,Facilities — HR — Apr 2025,5671.29,Recurring,Q2 2025,FY2025
GL-000835,2025-08-21,6300,Software & Subscriptions,CC-110,Datadog Inc,Software — Sales — Aug 2025,9248.29,Recurring,Q3 2025,FY2025
GL-003077,2025-05-19,6500,Professional Services,CC-139,ADP Payroll,Professional Services — Legal — May 2025,8586.21,Recurring,Q2 2025,FY2025
GL-000718,2025-11-07,6700,Training & Development,CC-117,FedEx Shipping,Training — Marketing — Nov 2025,3863.25,Recurring,Q4 2025,FY2025
GL-003374,2026-02-25,6300,Software & Subscriptions,CC-115,JLL Real Estate,Software — Marketing — Feb 2026,7872.01,Recurring,Q1 2026,FY2026
GL-003263,2025-06-07,6300,Software & Subscriptions,CC-161,Datadog Inc,Software — IT — Jun 2025,5170.42,Recurring,Q2 2025,FY2025
GL-002471,2026-02-16,6100,Salaries & Wages,CC-121,Willis Towers Watson,Compensation — Finance — Feb 2026,12171.12,Recurring,Q1 2026,FY2026
GL-004141,2026-02-02,6100,Salaries & Wages,CC-144,FedEx Shipping,Compensation — Product — Feb 2026,18604.45,Recurring,Q1 2026,FY2026
GL-002928,2025-05-12,6600,Equipment & Hardware,CC-149,McKinsey & Company,Equipment — Operations — May 2025,4659.26,Recurring,Q2 2025,FY2025
GL-002390,2026-03-16,6600,Equipment & Hardware,CC-141,Splunk Inc,Equipment — Legal — Mar 2026,10413.49,Recurring,Q1 2026,FY2026
GL-005845,2025-11-10,6700,Training & Development,CC-159,Cisco Systems,Training — IT — Nov 2025,2145.35,Recurring,Q4 2025,FY2025
GL-005206,2026-05-11,6600,Equipment & Hardware,CC-146,Perkins Coie LLP,Equipment — Product — May 2026,18769.14,Recurring,Q2 2026,FY2026
GL-002468,2026-04-20,6300,Software & Subscriptions,CC-111,Snowflake Computing,Software — Sales — Apr 2026,11590.9,Recurring,Q2 2026,FY2026
GL-003737,2025-01-15,6500,Professional Services,CC-139,Fortinet Inc,Professional Services — Legal — Jan 2025,15114.21,Recurring,Q1 2025,FY2025
GL-000725,2025-11-17,6400,Facilities & Occupancy,CC-107,Zscaler Inc,Facilities — Sales — Nov 2025,4059.93,Recurring,Q4 2025,FY2025
GL-005753,2025-09-08,6300,Software & Subscriptions,CC-147,Latham & Watkins,Software — Product — Sep 2025,7229.19,Recurring,Q3 2025,FY2025
GL-000066,2025-06-05,6700,Training & Development,CC-148,PwC Advisory,Training — Product — Jun 2025,3122.41,Recurring,Q2 2025,FY2025
GL-001254,2025-11-11,6110,Employee Benefits,CC-161,CBRE Group,Benefits — IT — Nov 2025,250.0,Recurring,Q4 2025,FY2025
GL-001125,2025-11-09,6100,Salaries & Wages,CC-159,Perkins Coie LLP,Compensation — IT — Nov 2025,6885.94,Recurring,Q4 2025,FY2025
GL-005107,2025-01-28,6700,Training & Development,CC-146,Willis Towers Watson,Training — Product — Jan 2025,2438.33,Recurring,Q1 2025,FY2025
GL-003072,2025-07-08,6200,Travel & Entertainment,CC-135,Zscaler Inc,Travel — Legal — Jul 2025,2473.55,Recurring,Q3 2025,FY2025
GL-002765,2025-07-10,6700,Training & Development,CC-169,Snowflake Computing,Training — Executive — Jul 2025,2444.98,Recurring,Q3 2025,FY2025
GL-002971,2025-03-11,6300,Software & Subscriptions,CC-155,Hays Recruiting,Software — Operations — Mar 2025,9416.57,Recurring,Q1 2025,FY2025
GL-003128,2025-09-23,6500,Professional Services,CC-125,CBRE Group,Professional Services — Finance — Sep 2025,30849.26,Recurring,Q3 2025,FY2025
GL-003437,2025-10-06,6700,Training & Development,CC-148,IDC Advisory,Training — Product — Oct 2025,1864.73,Recurring,Q4 2025,FY2025
GL-003261,2026-05-12,6700,Training & Development,CC-168,PwC Advisory,Training — Executive — May 2026,1383.37,Recurring,Q2 2026,FY2026
GL-004016,2025-12-19,6200,Travel & Entertainment,CC-168,Latham & Watkins,Travel — Executive — Dec 2025,4592.72,Recurring,Q4 2025,FY2025
GL-001739,2025-12-17,6400,Facilities & Occupancy,CC-156,Forrester Research,Facilities — IT — Dec 2025,4496.0,Recurring,Q4 2025,FY2025
GL-000961,2025-07-21,6400,Facilities & Occupancy,CC-137,Splunk Inc,Facilities — Legal — Jul 2025,7676.09,Recurring,Q3 2025,FY2025
GL-000364,2025-03-24,6500,Professional Services,CC-123,Latham & Watkins,Professional Services — Finance — Mar 2025,15186.42,Recurring,Q1 2025,FY2025
